trip_id,member_casual,started_at,start_station_id,start_station_name,start_lat,start_lng,ended_at,end_station_id,end_station_name,end_lat,end_lng,trip_minutes,trip_miles
JC0,member,2021-01-01 00:03:35.5100,JC082,Manila & 1st,40.72165072487999,-74.04288411140442,2021-01-01 00:08:01.7770,JC023,Brunswick St,40.7241765,-74.0506564,4,0.45
JC1,casual,2021-01-01 00:23:32.9250,JC102,Grand St,40.71517767732029,-74.03768330812454,2021-01-01 00:49:16.0830,JC035,Van Vorst Park,40.71848892,-74.047726625,25,0.58
JC2,casual,2021-01-01 00:23:50.7940,JC102,Grand St,40.71517767732029,-74.03768330812454,2021-01-01 00:48:12.5660,JC035,Van Vorst Park,40.71848892,-74.047726625,24,0.58
JC3,casual,2021-01-01 00:31:09.0770,JC003,City Hall,40.7177325,-74.043845,2021-01-01 00:44:22.9430,JC008,Newport Pkwy,40.7287448,-74.0321082,13,0.98
JC4,casual,2021-01-01 00:35:52.1900,JC104,Harborside,40.7192517,-74.034234,2021-01-01 00:45:48.7740,JC023,Brunswick St,40.7241765,-74.0506564,9,0.93
JC5,member,2021-01-01 00:39:55.5950,JC081,Brunswick & 6th,40.72601172964625,-74.05038893222809,2021-01-01 00:42:19.7750,JC032,Newark Ave,40.72152515,-74.046304543,2,0.38
JC6,casual,2021-01-01 00:43:49.4060,JC059,Heights Elevator,40.74871594538023,-74.04044330120087,2021-01-01 00:53:59.5240,JC019,Hilltop,40.7311689,-74.0575736,10,1.51
JC7,member,2021-01-01 01:12:20.8060,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 01:16:46.3990,JC038,Essex Light Rail,40.7127742,-74.0364857,4,0.36
JC8,member,2021-01-01 01:14:02.8890,JC003,City Hall,40.7177325,-74.043845,2021-01-01 01:19:56.3990,JC052,Liberty Light Rail,40.7112423,-74.0557013,5,0.77
JC9,casual,2021-01-01 01:17:06.6420,JC056,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 01:21:35.7940,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,4,0.5
JC10,member,2021-01-01 01:32:40.7310,JC098,Washington St,40.7242941,-74.0354826,2021-01-01 01:39:22.5420,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,6,0.77
JC11,member,2021-01-01 01:43:31.0810,JC076,Dixon Mills,40.721630142638354,-74.04996782541275,2021-01-01 01:49:23.6490,JC104,Harborside,40.7192517,-74.034234,5,0.85
