trip_id,member_casual,started_at,start_station_id,start_station_name,start_lat,start_lng,ended_at,end_station_id,end_station_name,end_lat,end_lng,trip_minutes,trip_miles
JC12,member,2021-01-01 01:51:05.7760,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 01:58:26.7680,JC075,Monmouth and 6th,40.72568548362901,-74.04879033565521,7,0.83
JC13,member,2021-01-01 01:51:59.5790,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 01:58:45.2740,JC027,Jersey & 6th St,40.72528910781132,-74.04557168483734,6,0.75
JC14,casual,2021-01-01 02:12:44.6930,JC056,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 02:37:15.2290,JC008,Newport Pkwy,40.7287448,-74.0321082,24,1.69
JC15,casual,2021-01-01 02:12:46.2740,JC056,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 02:37:28.9770,JC008,Newport Pkwy,40.7287448,-74.0321082,24,1.69
JC16,member,2021-01-01 02:21:06.1000,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 02:30:34.4550,JC014,Columbus Drive,40.71835519823214,-74.03891444206238,9,0.8
JC17,member,2021-01-01 02:25:24.8360,JC023,Brunswick St,40.7241765,-74.0506564,2021-01-01 02:34:05.9580,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,8,0.78
JC18,member,2021-01-01 02:33:23.2790,JC003,City Hall,40.7177325,-74.043845,2021-01-01 02:43:05.5520,JC081,Brunswick & 6th,40.72601172964625,-74.05038893222809,9,0.67
JC19,member,2021-01-01 02:34:03.7660,JC003,City Hall,40.7177325,-74.043845,2021-01-01 02:46:14.3090,JC078,Lafayette Park,40.71346382669195,-74.06285852193832,12,1.05
JC20,casual,2021-01-01 02:39:34.4610,JC053,Lincoln Park,40.7246050998869,-74.07840594649315,2021-01-01 02:40:56.2290,JC053,Lincoln Park,40.7246050998869,-74.07840594649315,1,0.0
JC21,casual,2021-01-01 03:10:49.0690,JC098,Washington St,40.7242941,-74.0354826,2021-01-01 03:57:22.1680,JC059,Heights Elevator,40.74871594538023,-74.04044330120087,46,1.71
JC22,member,2021-01-01 03:28:57.9710,JC023,Brunswick St,40.7241765,-74.0506564,2021-01-01 03:36:10.5730,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,7,0.78
JC23,member,2021-01-01 03:41:32.9070,JC009,Hamilton Park,40.727595966,-74.044247311,2021-01-01 03:52:33.8480,JC098,Washington St,40.7242941,-74.0354826,11,0.52
JC24,casual,2021-01-01 04:41:32.2040,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 05:06:12.6470,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,24,0.0
JC25,casual,2021-01-01 06:18:05.7210,JC055,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 06:29:46.2280,JC019,Hilltop,40.7311689,-74.0575736,11,0.67
JC26,member,2021-01-01 06:27:18.9660,JC022,Oakland Ave,40.7376037,-74.0524783,2021-01-01 06:38:50.6780,JC008,Newport Pkwy,40.7287448,-74.0321082,11,1.24
JC27,casual,2021-01-01 06:43:06.8210,JC055,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 06:55:47.4820,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,12,1.51
JC28,member,2021-01-01 06:47:51.4810,JC095,Bergen Ave,40.722103786686034,-74.07145500183105,2021-01-01 07:03:58.8870,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,16,2.08
JC29,member,2021-01-01 06:54:46.7420,JC022,Oakland Ave,40.7376037,-74.0524783,2021-01-01 06:59:32.9050,JC105,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,4,0.34
JC30,member,2021-01-01 07:51:09.4780,JC072,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 07:55:47.2340,JC096,York St,40.71649,-74.04105,4,0.31
JC31,member,2021-01-01 08:52:17.3710,JC102,Grand St,40.71517767732029,-74.03768330812454,2021-01-01 08:54:18.6460,JC014,Columbus Drive,40.71835519823214,-74.03891444206238,2,0.23
JC32,member,2021-01-01 09:18:10.0490,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 09:22:36.3110,JC006,Warren St,40.7211236,-74.03805095,4,0.61
JC33,member,2021-01-01 09:18:14.0830,JC055,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 09:20:25.2580,JC093,Fairmount Ave,40.72572613742557,-74.07195925712585,2,0.23
JC34,member,2021-01-01 09:26:19.7390,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 09:50:51.5510,JC019,Hilltop,40.7311689,-74.0575736,24,1.39
JC35,casual,2021-01-01 09:26:20.0900,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 09:50:37.1450,JC019,Hilltop,40.7311689,-74.0575736,24,1.39
JC36,member,2021-01-01 09:28:32.5270,JC055,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 09:36:27.2640,JC078,Lafayette Park,40.71346382669195,-74.06285852193832,7,0.86
JC37,member,2021-01-01 09:31:53.8360,JC078,Lafayette Park,40.71346382669195,-74.06285852193832,2021-01-01 09:40:34.1110,JC003,City Hall,40.7177325,-74.043845,8,1.05
JC38,member,2021-01-01 09:37:47.0090,JC019,Hilltop,40.7311689,-74.0575736,2021-01-01 09:46:33.1660,JC077,Astor Place,40.71928220070702,-74.07126188278198,8,1.09
JC39,casual,2021-01-01 09:40:43.7660,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 09:51:05.9800,JC098,Washington St,40.7242941,-74.0354826,10,1.52
JC40,casual,2021-01-01 09:53:23.8260,JC024,Pershing Field,40.742677141,-74.051788633,2021-01-01 10:16:04.9040,JC102,Grand St,40.71517767732029,-74.03768330812454,22,2.04
JC41,member,2021-01-01 09:55:35.0350,JC023,Brunswick St,40.7241765,-74.0506564,2021-01-01 10:00:46.2580,JC003,City Hall,40.7177325,-74.043845,5,0.57
JC42,member,2021-01-01 09:58:17.2360,JC093,Fairmount Ave,40.72572613742557,-74.07195925712585,2021-01-01 10:01:54.0860,JC055,McGinley Square,40.7253399253558,-74.06762212514877,3,0.23
JC43,casual,2021-01-01 09:58:19.5370,JC034,Christ Hospital,40.734785818,-74.050443636,2021-01-01 10:04:46.8330,JC103,Journal Square,40.73367,-74.0625,6,0.64
JC44,member,2021-01-01 10:03:02.0930,JC055,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 10:11:37.6020,JC094,Glenwood Ave,40.72755146730012,-74.07106071710587,8,0.24
JC45,member,2021-01-01 10:11:16.9940,JC072,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 10:18:46.6600,JC098,Washington St,40.7242941,-74.0354826,7,0.84
JC46,member,2021-01-01 10:16:34.1850,JC052,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 11:08:11.6310,JC052,Liberty Light Rail,40.7112423,-74.0557013,51,0.0
JC47,member,2021-01-01 10:18:55.9130,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 10:30:43.8490,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,11,1.73
JC48,member,2021-01-01 10:19:38.0730,JC011,JC Medical Center,40.71653978099194,-74.0496379137039,2021-01-01 10:33:53.6420,JC082,Manila & 1st,40.72165072487999,-74.04288411140442,14,0.5
JC49,member,2021-01-01 10:24:36.6460,JC027,Jersey & 6th St,40.72528910781132,-74.04557168483734,2021-01-01 10:28:18.6970,JC005,Grove St PATH,40.71958611647166,-74.04311746358871,3,0.41
JC50,member,2021-01-01 10:32:33.6780,JC006,Warren St,40.7211236,-74.03805095,2021-01-01 10:38:28.1720,JC072,Morris Canal,40.7124188237569,-74.03852552175522,5,0.6
JC51,member,2021-01-01 10:34:27.8000,JC034,Christ Hospital,40.734785818,-74.050443636,2021-01-01 10:39:36.2870,JC024,Pershing Field,40.742677141,-74.051788633,5,0.55
JC52,member,2021-01-01 10:34:30.3090,JC006,Warren St,40.7211236,-74.03805095,2021-01-01 10:39:37.4130,JC008,Newport Pkwy,40.7287448,-74.0321082,5,0.61
JC53,member,2021-01-01 10:39:15.0620,JC072,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 10:46:05.2330,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,6,0.43
JC54,casual,2021-01-01 10:52:27.3490,JC080,Leonard Gordon Park,40.74590996631558,-74.0572714805603,2021-01-01 11:02:17.3280,JC056,Sip Ave,40.73089709786179,-74.06391263008118,9,1.09
JC55,member,2021-01-01 10:53:14.0970,JC024,Pershing Field,40.742677141,-74.051788633,2021-01-01 10:58:05.6200,JC034,Christ Hospital,40.734785818,-74.050443636,4,0.55
JC56,member,2021-01-01 11:00:06.4040,JC055,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 11:03:53.2520,JC056,Sip Ave,40.73089709786179,-74.06391263008118,3,0.43
JC57,member,2021-01-01 11:01:07.3940,JC052,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 11:11:05.1770,JC074,Jersey & 3rd,40.72333158646436,-74.04595255851744,9,0.98
JC58,member,2021-01-01 11:03:48.5550,JC053,Lincoln Park,40.7246050998869,-74.07840594649315,2021-01-01 11:12:00.9900,JC077,Astor Place,40.71928220070702,-74.07126188278198,8,0.53
JC59,member,2021-01-01 11:11:01.0540,JC052,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 13:06:37.5900,JC052,Liberty Light Rail,40.7112423,-74.0557013,115,0.0
JC60,member,2021-01-01 11:13:26.8110,JC006,Warren St,40.7211236,-74.03805095,2021-01-01 11:19:33.3210,JC008,Newport Pkwy,40.7287448,-74.0321082,6,0.61
JC61,casual,2021-01-01 11:21:12.6740,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 12:14:29.0380,JC008,Newport Pkwy,40.7287448,-74.0321082,53,0.0
JC62,member,2021-01-01 11:24:54.1750,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 11:34:49.0470,JC009,Hamilton Park,40.727595966,-74.044247311,9,0.65
JC63,casual,2021-01-01 11:28:19.8830,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 12:14:48.2510,JC008,Newport Pkwy,40.7287448,-74.0321082,46,0.0
JC64,member,2021-01-01 11:30:48.4770,JC072,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 12:23:26.5470,JC002,Paulus Hook,40.7141454,-74.0335519,52,0.29
JC65,member,2021-01-01 11:34:33.9350,JC094,Glenwood Ave,40.72755146730012,-74.07106071710587,2021-01-01 11:35:50.6250,JC094,Glenwood Ave,40.72755146730012,-74.07106071710587,1,0.0
JC66,member,2021-01-01 11:38:03.1670,JC094,Glenwood Ave,40.72755146730012,-74.07106071710587,2021-01-01 12:02:46.9970,JC051,Union St,40.7182113,-74.0836394,24,0.93
JC67,member,2021-01-01 11:41:22.3000,JC014,Columbus Drive,40.71835519823214,-74.03891444206238,2021-01-01 11:51:57.1530,JC072,Morris Canal,40.7124188237569,-74.03852552175522,10,0.41
JC68,member,2021-01-01 11:45:34.0090,JC003,City Hall,40.7177325,-74.043845,2021-01-01 11:57:54.9880,JC002,Paulus Hook,40.7141454,-74.0335519,12,0.6
JC69,member,2021-01-01 11:50:29.9140,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 11:57:44.8410,JC014,Columbus Drive,40.71835519823214,-74.03891444206238,7,0.8
JC70,member,2021-01-01 11:53:27.2470,JC098,Washington St,40.7242941,-74.0354826,2021-01-01 12:01:39.9300,JC072,Morris Canal,40.7124188237569,-74.03852552175522,8,0.84
JC71,casual,2021-01-01 11:55:44.5650,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 12:16:56.4000,JC011,JC Medical Center,40.71653978099194,-74.0496379137039,21,0.89
JC72,member,2021-01-01 11:58:27.1190,JC056,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 12:03:46.5170,JC093,Fairmount Ave,40.72572613742557,-74.07195925712585,5,0.56
JC73,casual,2021-01-01 11:58:56.7220,JC009,Hamilton Park,40.727595966,-74.044247311,2021-01-01 12:07:39.1840,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,8,0.9
JC74,member,2021-01-01 12:00:01.8210,JC002,Paulus Hook,40.7141454,-74.0335519,2021-01-01 12:19:05.7550,JC098,Washington St,40.7242941,-74.0354826,19,0.71
JC75,casual,2021-01-01 12:03:45.1290,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 12:20:05.1130,JC104,Harborside,40.7192517,-74.034234,16,1.62
JC76,member,2021-01-01 12:05:34.8870,JC051,Union St,40.7182113,-74.0836394,2021-01-01 12:12:27.4030,JC051,Union St,40.7182113,-74.0836394,6,0.0
JC77,casual,2021-01-01 12:09:33.3900,JC056,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 12:20:55.6990,JC080,Leonard Gordon Park,40.74590996631558,-74.0572714805603,11,1.09
JC78,casual,2021-01-01 12:11:25.6550,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 12:24:55.2210,JC053,Lincoln Park,40.7246050998869,-74.07840594649315,13,0.76
JC79,casual,2021-01-01 12:15:19.4990,JC080,Leonard Gordon Park,40.74590996631558,-74.0572714805603,2021-01-01 12:27:54.9620,JC056,Sip Ave,40.73089709786179,-74.06391263008118,12,1.09
JC80,member,2021-01-01 12:18:46.0270,JC051,Union St,40.7182113,-74.0836394,2021-01-01 12:41:33.6220,JC019,Hilltop,40.7311689,-74.0575736,22,1.65
JC81,member,2021-01-01 12:20:09.2330,JC098,Washington St,40.7242941,-74.0354826,2021-01-01 12:37:15.0650,JC008,Newport Pkwy,40.7287448,-74.0321082,17,0.36
JC82,casual,2021-01-01 12:23:21.1060,JC104,Harborside,40.7192517,-74.034234,2021-01-01 14:16:14.2680,8358.10,Cabrini Blvd & W 177 St,40.848282,-73.941343,112,10.17
JC83,member,2021-01-01 12:28:37.0030,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 12:48:33.5430,JC008,Newport Pkwy,40.7287448,-74.0321082,19,0.0
JC84,member,2021-01-01 12:39:52.9240,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 13:01:43.0540,JC098,Washington St,40.7242941,-74.0354826,21,0.36
JC85,member,2021-01-01 12:43:15.8760,JC019,Hilltop,40.7311689,-74.0575736,2021-01-01 13:40:15.4760,JC105,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,56,0.63
JC86,casual,2021-01-01 12:51:51.3900,JC011,JC Medical Center,40.71653978099194,-74.0496379137039,2021-01-01 13:03:56.4750,JC006,Warren St,40.7211236,-74.03805095,12,0.69
JC87,member,2021-01-01 12:57:47.5460,JC095,Bergen Ave,40.722103786686034,-74.07145500183105,2021-01-01 13:03:19.1820,JC056,Sip Ave,40.73089709786179,-74.06391263008118,5,0.73
JC88,member,2021-01-01 12:59:56.4060,JC014,Columbus Drive,40.71835519823214,-74.03891444206238,2021-01-01 13:04:04.5310,JC098,Washington St,40.7242941,-74.0354826,4,0.45
JC89,member,2021-01-01 13:02:05.0480,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 13:08:42.9110,JC072,Morris Canal,40.7124188237569,-74.03852552175522,6,0.43
JC90,member,2021-01-01 13:02:42.8470,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 13:11:43.0630,JC008,Newport Pkwy,40.7287448,-74.0321082,9,0.82
JC91,casual,2021-01-01 13:04:18.0400,JC052,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 15:04:29.0900,JC052,Liberty Light Rail,40.7112423,-74.0557013,120,0.0
JC92,casual,2021-01-01 13:04:32.3550,JC052,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 15:04:42.4130,JC052,Liberty Light Rail,40.7112423,-74.0557013,120,0.0
JC93,casual,2021-01-01 13:04:43.9400,JC052,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 15:04:25.3960,JC052,Liberty Light Rail,40.7112423,-74.0557013,119,0.0
JC94,member,2021-01-01 13:05:49.8280,JC032,Newark Ave,40.72152515,-74.046304543,2021-01-01 13:09:13.1580,JC027,Jersey & 6th St,40.72528910781132,-74.04557168483734,3,0.26
JC95,member,2021-01-01 13:06:05.6420,JC055,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 13:13:04.9620,JC056,Sip Ave,40.73089709786179,-74.06391263008118,6,0.43
JC96,member,2021-01-01 13:06:35.6510,JC098,Washington St,40.7242941,-74.0354826,2021-01-01 13:12:16.8940,JC009,Hamilton Park,40.727595966,-74.044247311,5,0.52
JC97,member,2021-01-01 13:07:47.5460,JC098,Washington St,40.7242941,-74.0354826,2021-01-01 13:30:10.8580,JC005,Grove St PATH,40.71958611647166,-74.04311746358871,22,0.52
JC98,member,2021-01-01 13:13:32.5680,JC066,Newport PATH,40.7272235,-74.0337589,2021-01-01 13:19:05.4730,JC102,Grand St,40.71517767732029,-74.03768330812454,5,0.86
JC99,member,2021-01-01 13:14:32.8080,JC081,Brunswick & 6th,40.72601172964625,-74.05038893222809,2021-01-01 13:44:48.6130,JC051,Union St,40.7182113,-74.0836394,30,1.84
JC100,member,2021-01-01 13:15:26.4390,JC056,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 13:23:25.4950,JC077,Astor Place,40.71928220070702,-74.07126188278198,7,0.89
JC101,member,2021-01-01 13:20:37.9000,JC005,Grove St PATH,40.71958611647166,-74.04311746358871,2021-01-01 13:25:02.5190,JC023,Brunswick St,40.7241765,-74.0506564,4,0.51
JC102,member,2021-01-01 13:22:56.6840,JC027,Jersey & 6th St,40.72528910781132,-74.04557168483734,2021-01-01 13:28:18.4590,JC098,Washington St,40.7242941,-74.0354826,5,0.54
JC103,member,2021-01-01 13:23:49.1320,JC056,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 13:35:14.8090,JC053,Lincoln Park,40.7246050998869,-74.07840594649315,11,0.88
JC104,member,2021-01-01 13:23:54.5880,JC077,Astor Place,40.71928220070702,-74.07126188278198,2021-01-01 13:33:11.8540,JC056,Sip Ave,40.73089709786179,-74.06391263008118,9,0.89
JC105,member,2021-01-01 13:24:32.4160,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 13:49:23.4270,JC008,Newport Pkwy,40.7287448,-74.0321082,24,0.82
JC106,member,2021-01-01 13:24:43.2540,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 13:49:10.9910,JC008,Newport Pkwy,40.7287448,-74.0321082,24,0.82
JC107,casual,2021-01-01 13:26:43.4280,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 14:19:30.8380,JC105,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,52,1.44
JC108,casual,2021-01-01 13:27:09.6890,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 14:19:27.2520,JC105,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,52,1.44
JC109,member,2021-01-01 13:27:34.6990,JC056,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 13:33:04.8060,JC055,McGinley Square,40.7253399253558,-74.06762212514877,5,0.43
JC110,member,2021-01-01 13:34:11.8950,JC096,York St,40.71649,-74.04105,2021-01-01 14:03:58.6010,JC009,Hamilton Park,40.727595966,-74.044247311,29,0.78
JC111,member,2021-01-01 13:42:23.0390,JC052,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 13:49:36.7880,JC035,Van Vorst Park,40.71848892,-74.047726625,7,0.65
JC112,member,2021-01-01 13:45:00.7800,JC006,Warren St,40.7211236,-74.03805095,2021-01-01 14:07:14.9180,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,22,0.4
JC113,member,2021-01-01 13:47:16.1310,JC105,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,2021-01-01 14:27:00.5030,JC008,Newport Pkwy,40.7287448,-74.0321082,39,0.9
JC114,member,2021-01-01 13:49:02.8840,JC084,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,2021-01-01 13:57:47.1610,JC003,City Hall,40.7177325,-74.043845,8,1.23
JC115,member,2021-01-01 13:53:57.6450,JC038,Essex Light Rail,40.7127742,-74.0364857,2021-01-01 13:56:51.3660,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,2,0.34
JC116,member,2021-01-01 13:57:32.6730,JC059,Heights Elevator,40.74871594538023,-74.04044330120087,2021-01-01 14:33:50.3780,JC011,JC Medical Center,40.71653978099194,-74.0496379137039,36,2.27
JC117,member,2021-01-01 13:58:46.9370,JC075,Monmouth and 6th,40.72568548362901,-74.04879033565521,2021-01-01 14:03:27.4850,JC082,Manila & 1st,40.72165072487999,-74.04288411140442,4,0.42
JC118,member,2021-01-01 14:01:42.0410,JC105,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,2021-01-01 14:13:00.2330,JC105,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,11,0.0
JC119,member,2021-01-01 14:04:35.0480,JC009,Hamilton Park,40.727595966,-74.044247311,2021-01-01 15:09:40.7150,JC096,York St,40.71649,-74.04105,65,0.78
JC120,member,2021-01-01 14:05:16.6040,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 14:56:57.5930,JC008,Newport Pkwy,40.7287448,-74.0321082,51,0.0
JC121,casual,2021-01-01 14:06:43.8850,JC035,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 14:40:03.2550,JC035,Van Vorst Park,40.71848892,-74.047726625,33,0.0
JC122,member,2021-01-01 14:06:48.9870,JC035,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 14:40:05.9320,JC035,Van Vorst Park,40.71848892,-74.047726625,33,0.0
JC123,member,2021-01-01 14:07:38.7200,JC008,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 15:01:17.4110,JC066,Newport PATH,40.7272235,-74.0337589,53,0.14
JC124,member,2021-01-01 14:09:34.6990,JC032,Newark Ave,40.72152515,-74.046304543,2021-01-01 14:12:25.9480,JC081,Brunswick & 6th,40.72601172964625,-74.05038893222809,2,0.38
JC125,casual,2021-01-01 14:12:34.4410,JC006,Warren St,40.7211236,-74.03805095,2021-01-01 15:54:49.6090,JC006,Warren St,40.7211236,-74.03805095,102,0.0
JC126,member,2021-01-01 14:17:29.3830,JC052,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 14:43:38.2510,JC052,Liberty Light Rail,40.7112423,-74.0557013,26,0.0
JC127,member,2021-01-01 14:20:39.2200,JC077,Astor Place,40.71928220070702,-74.07126188278198,2021-01-01 14:30:31.2790,JC099,Montgomery St,40.71942,-74.05099,9,1.07
JC128,casual,2021-01-01 14:30:27.0720,JC035,Van Vorst Park,40.71848892,-74.047726625,2021-01-01 15:08:38.6210,JC035,Van Vorst Park,40.71848892,-74.047726625,38,0.0
JC129,casual,2021-01-01 14:31:15.1460,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 14:59:43.4460,JC093,Fairmount Ave,40.72572613742557,-74.07195925712585,28,2.16
JC130,member,2021-01-01 14:33:23.5190,JC009,Hamilton Park,40.727595966,-74.044247311,2021-01-01 14:36:51.9140,JC098,Washington St,40.7242941,-74.0354826,3,0.52
JC131,member,2021-01-01 14:36:04.8070,JC011,JC Medical Center,40.71653978099194,-74.0496379137039,2021-01-01 15:15:22.9880,JC011,JC Medical Center,40.71653978099194,-74.0496379137039,39,0.0
JC132,member,2021-01-01 14:37:00.9250,JC099,Montgomery St,40.71942,-74.05099,2021-01-01 14:56:03.7570,JC014,Columbus Drive,40.71835519823214,-74.03891444206238,19,0.64
JC133,member,2021-01-01 14:38:50.7840,JC020,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 14:49:51.8680,JC102,Grand St,40.71517767732029,-74.03768330812454,11,1.52
JC134,member,2021-01-01 14:42:37.7170,JC055,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 14:56:24.2270,JC053,Lincoln Park,40.7246050998869,-74.07840594649315,13,0.57
JC135,member,2021-01-01 14:42:37.7260,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 14:45:24.2860,JC002,Paulus Hook,40.7141454,-74.0335519,2,0.19
JC136,casual,2021-01-01 14:43:32.9040,JC077,Astor Place,40.71928220070702,-74.07126188278198,2021-01-01 15:33:19.3560,JC052,Liberty Light Rail,40.7112423,-74.0557013,49,0.99
JC137,casual,2021-01-01 14:43:46.6060,JC103,Journal Square,40.73367,-74.0625,2021-01-01 15:02:05.4400,JC059,Heights Elevator,40.74871594538023,-74.04044330120087,18,1.56
JC138,member,2021-01-01 14:44:33.5500,JC099,Montgomery St,40.71942,-74.05099,2021-01-01 14:55:37.1690,JC032,Newark Ave,40.72152515,-74.046304543,11,0.29
JC139,member,2021-01-01 14:47:19.7140,JC082,Manila & 1st,40.72165072487999,-74.04288411140442,2021-01-01 15:15:50.6870,JC003,City Hall,40.7177325,-74.043845,28,0.28
JC140,casual,2021-01-01 14:47:44.4870,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 14:53:02.8370,JC099,Montgomery St,40.71942,-74.05099,5,0.55
